n,condition,sampling_mode,shuffle_frac,mean_abs_corr,max_abs_corr,seed,jitter,regularizer,final_loss_0,final_loss_1,final_l2_norm,min_loss_0,min_loss_1
16,iid,random_data,,0.16414009636148966,0.4576188900567396,0,,WeightedAct,1.4682378605357371e-05,0.10556457936763763,18.90392303466797,1.2058463653374929e-05,0.1054283156991005
16,grid_no_jitter,grid,,0.0,0.0,0,0.0,WeightedAct,5.820807473355671e-06,0.3510160744190216,7.900505542755127,3.172370497850352e-06,0.2695857286453247
16,grid_jitter01,grid,,0.006727582527590005,0.013563006640253008,0,0.1,WeightedAct,8.273942512460053e-06,0.29397091269493103,11.644848823547363,5.870919267181307e-06,0.23981288075447083
16,grid_jitter02,grid,,0.014005181813494747,0.02789824710307564,0,0.2,WeightedAct,7.4222534749424085e-06,0.2624160647392273,14.900362014770508,5.262736976874294e-06,0.2178659588098526
81,iid,random_data,,0.06776905128784534,0.11541193205702861,0,,WeightedAct,0.00011109562910860404,0.0014131910866126418,24.825437545776367,0.00010664977162377909,0.001392248785123229
81,grid_no_jitter,grid,,0.0,0.0,0,0.0,WeightedAct,6.739359378116205e-06,0.09499868005514145,13.230779647827148,2.957969854833209e-06,0.09188030660152435
81,grid_jitter01,grid,,0.009698029862512248,0.020732801341554082,0,0.1,WeightedAct,0.00019131696899421513,0.0773245245218277,20.985729217529297,0.00018877527327276766,0.07547477632761002
81,grid_jitter02,grid,,0.020160758195049273,0.04184168274261253,0,0.2,WeightedAct,0.00014176970580592752,0.06121104210615158,27.80865478515625,0.0001395244908053428,0.060978151857852936
256,iid,random_data,,0.014791157797526598,0.02860872951243932,0,,WeightedAct,0.0001380909379804507,0.0003104287025053054,26.293734550476074,0.00013258297985885292,0.00030727512785233557
256,grid_no_jitter,grid,,0.0,0.0,0,0.0,WeightedAct,1.2376358426990919e-05,0.015777070075273514,22.683256149291992,9.603391845303122e-06,0.011064782738685608
256,grid_jitter01,grid,,0.004900366331300002,0.008793353214103287,0,0.1,WeightedAct,0.00015651651483494788,0.008874454535543919,23.797358512878418,0.00015434075612574816,0.00857850257307291
256,grid_jitter02,grid,,0.010041554414734234,0.01775581474061311,0,0.2,WeightedAct,0.00015675346367061138,0.0018142582848668098,26.04461097717285,0.00015391717897728086,0.001770539442077279
